     table_name     |            constraint_name            |                                                                                                                                                                                     constraint_definition                                                                                                                                                                                      
--------------------+---------------------------------------+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 -                  | cardinal_number_domain_check          | CHECK ((VALUE >= 0))
 -                  | yes_or_no_check                       | CHECK (((VALUE)::text = ANY ((ARRAY['YES'::character varying, 'NO'::character varying])::text[])))
 channel_migrations | channel_migrations_status_check       | CHECK (((status)::text = ANY ((ARRAY['pending'::character varying, 'processing'::character varying, 'completed'::character varying, 'failed'::character varying])::text[])))
 invoices           | invoices_status_check                 | CHECK (((status)::text = ANY ((ARRAY['pending'::character varying, 'paid'::character varying, 'expired'::character varying, 'cancelled'::character varying])::text[])))
 invoices           | invoices_chain_check                  | CHECK (((chain)::text = ANY ((ARRAY['BTC'::character varying, 'ETH'::character varying, 'USDT_ERC20'::character varying, 'USDT_TRC20'::character varying, 'LTC'::character varying, 'CRYSTALPAY'::character varying])::text[])))
 invoices           | check_invoice_reference               | CHECK ((((order_id IS NOT NULL) AND (subscription_id IS NULL)) OR ((order_id IS NULL) AND (subscription_id IS NOT NULL))))
 invoices           | invoices_expected_amount_check        | CHECK ((expected_amount > (0)::numeric))
 order_items        | order_items_price_check               | CHECK ((price > (0)::numeric))
 order_items        | order_items_quantity_check            | CHECK ((quantity > 0))
 orders             | orders_quantity_check                 | CHECK ((quantity > 0))
 orders             | orders_status_check                   | CHECK (((status)::text = ANY ((ARRAY['pending'::character varying, 'confirmed'::character varying, 'shipped'::character varying, 'delivered'::character varying, 'cancelled'::character varying])::text[])))
 orders             | orders_total_price_check              | CHECK ((total_price > (0)::numeric))
 payments           | payments_verification_status_check    | CHECK (((verification_status)::text = ANY ((ARRAY['pending'::character varying, 'verifying'::character varying, 'confirmed'::character varying, 'failed'::character varying, 'expired'::character varying, 'late_confirmed'::character varying, 'tx_not_found'::character varying])::text[])))
 payments           | payments_currency_check               | CHECK (((currency)::text = ANY ((ARRAY['BTC'::character varying, 'ETH'::character varying, 'USDT'::character varying, 'LTC'::character varying, 'USDT_TRC20'::character varying, 'USD'::character varying, 'RUB'::character varying])::text[])))
 payments           | payments_status_check                 | CHECK (((status)::text = ANY ((ARRAY['pending'::character varying, 'processing'::character varying, 'confirmed'::character varying, 'failed'::character varying, 'needs_review'::character varying])::text[])))
 payments           | check_payment_reference               | CHECK ((((order_id IS NOT NULL) AND (subscription_id IS NULL)) OR ((order_id IS NULL) AND (subscription_id IS NOT NULL))))
 processed_webhooks | processed_webhooks_source_check       | CHECK (((source)::text = ANY ((ARRAY['blockcypher'::character varying, 'etherscan'::character varying, 'trongrid'::character varying, 'crystalpay'::character varying])::text[])))
 products           | check_available_stock                 | CHECK ((stock_quantity >= reserved_quantity))
 products           | products_discount_percentage_check    | CHECK (((discount_percentage >= (0)::numeric) AND (discount_percentage <= (100)::numeric)))
 products           | products_price_check                  | CHECK ((price > (0)::numeric))
 products           | products_stock_quantity_check         | CHECK ((stock_quantity >= 0))
 products           | products_reserved_quantity_check      | CHECK ((reserved_quantity >= 0))
 promo_codes        | promo_codes_tier_check                | CHECK (((tier)::text = ANY ((ARRAY['basic'::character varying, 'pro'::character varying, 'max'::character varying])::text[])))
 promo_codes        | check_max_uses                        | CHECK (((max_uses IS NULL) OR (max_uses > 0)))
 promo_codes        | check_used_count_limit                | CHECK (((max_uses IS NULL) OR (used_count <= max_uses)))
