     tablename      |                    indexname                     
--------------------+--------------------------------------------------
 admin_action_logs  | admin_action_logs_pkey
 admin_action_logs  | idx_admin_action_logs_action
 admin_action_logs  | idx_admin_action_logs_admin_id
 admin_action_logs  | idx_admin_action_logs_created_at
 admin_action_logs  | idx_admin_action_logs_target
 ai_usage_log       | ai_usage_log_pkey
 ai_usage_log       | idx_ai_usage_created_at
 ai_usage_log       | idx_ai_usage_user_date
 ai_user_settings   | ai_user_settings_pkey
 ai_user_settings   | ai_user_settings_user_id_key
 ai_user_settings   | idx_ai_user_settings_user
 channel_migrations | channel_migrations_pkey
 channel_migrations | idx_channel_migrations_created
 channel_migrations | idx_channel_migrations_shop
 channel_migrations | idx_channel_migrations_status
 invoices           | idx_invoices_address
 invoices           | idx_invoices_chain
 invoices           | idx_invoices_crystalpay_poll
 invoices           | idx_invoices_expires_at
 invoices           | idx_invoices_order
 invoices           | idx_invoices_purpose
 invoices           | idx_invoices_status_expires
 invoices           | idx_invoices_subscription_id
 invoices           | invoices_address_key
 invoices           | invoices_pkey
 order_items        | idx_order_items_order_id
 order_items        | idx_order_items_product_id
 order_items        | idx_order_items_product_order
 order_items        | order_items_pkey
 orders             | idx_orders_buyer
 orders             | idx_orders_buyer_id
 orders             | idx_orders_buyer_status
 orders             | idx_orders_created_at
 orders             | idx_orders_crypto_payment
 orders             | idx_orders_notification_failed
 orders             | idx_orders_notification_pending
 orders             | idx_orders_payment_hash
 orders             | idx_orders_payment_status
 orders             | idx_orders_pending_cleanup
 orders             | idx_orders_product
 orders             | idx_orders_product_id
 orders             | idx_orders_shop_id
 orders             | idx_orders_status
 orders             | idx_orders_status_created
 orders             | orders_pkey
 payments           | idx_payments_created_at
 payments           | idx_payments_currency
 payments           | idx_payments_hash_status
 payments           | idx_payments_needs_review
 payments           | idx_payments_order_id
 payments           | idx_payments_order_status
 payments           | idx_payments_pending
 payments           | idx_payments_pending_verification
 payments           | idx_payments_status
 payments           | idx_payments_status_created
 payments           | idx_payments_subscription_id
 payments           | idx_payments_tx_hash
 payments           | idx_payments_tx_hash_unique
 payments           | payments_pkey
 processed_webhooks | idx_processed_webhooks_processed_at
 processed_webhooks | idx_processed_webhooks_tx_hash
 processed_webhooks | idx_processed_webhooks_webhook_id
 processed_webhooks | processed_webhooks_pkey
 processed_webhooks | processed_webhooks_webhook_id_key
 products           | idx_products_availability
 products           | idx_products_created_at
 products           | idx_products_currency
 products           | idx_products_discount_active
 products           | idx_products_is_active
 products           | idx_products_preorder
 products           | idx_products_price
 products           | idx_products_shop
 products           | idx_products_shop_active
 products           | idx_products_shop_active_partial
 products           | idx_products_shop_id
 products           | products_pkey
 promo_activations  | idx_promo_activations_code
 promo_activations  | idx_promo_activations_shop
 promo_activations  | idx_promo_activations_user
 promo_activations  | promo_activations_pkey
 promo_activations  | promo_activations_user_id_promo_code_key
 promo_codes        | idx_promo_codes_active
 promo_codes        | idx_promo_codes_code
 promo_codes        | promo_codes_code_key
 promo_codes        | promo_codes_pkey
 refresh_tokens     | idx_refresh_tokens_active
 refresh_tokens     | idx_refresh_tokens_hash
 refresh_tokens     | idx_refresh_tokens_user
 refresh_tokens     | refresh_tokens_pkey
 refresh_tokens     | refresh_tokens_token_hash_key
 shop_follows       | idx_shop_follows_active_partial
 shop_follows       | idx_shop_follows_follower
 shop_follows       | idx_shop_follows_follower_status
 shop_follows       | idx_shop_follows_mode
 shop_follows       | idx_shop_follows_source
 shop_follows       | idx_shop_follows_source_status
 shop_follows       | idx_shop_follows_status
 shop_follows       | shop_follows_follower_shop_id_source_shop_id_key
 shop_follows       | shop_follows_pkey
 shop_subscribers   | idx_shop_subscribers_shop
 shop_subscribers   | idx_shop_subscribers_user
 shop_subscribers   | shop_subscribers_pkey
 shop_subscribers   | shop_subscribers_user_id_shop_id_key
 shop_subscriptions | idx_shop_subscriptions_period_end
 shop_subscriptions | idx_shop_subscriptions_shop
 shop_subscriptions | idx_shop_subscriptions_status
 shop_subscriptions | idx_shop_subscriptions_tx_hash
 shop_subscriptions | idx_shop_subscriptions_user_id
 shop_subscriptions | shop_subscriptions_pkey
 shop_subscriptions | shop_subscriptions_tx_hash_key
 shop_workers       | idx_shop_workers_added_by
 shop_workers       | idx_shop_workers_shop
 shop_workers       | idx_shop_workers_user
 shop_workers       | shop_workers_pkey
 shop_workers       | shop_workers_shop_id_worker_user_id_key
 shops              | idx_shops_channel_url
 shops              | idx_shops_created_at
 shops              | idx_shops_invite_code
 shops              | idx_shops_is_active
 shops              | idx_shops_name
 shops              | idx_shops_name_unique_lower
 shops              | idx_shops_next_payment_due
 shops              | idx_shops_owner
 shops              | idx_shops_owner_active
 shops              | idx_shops_owner_id
 shops              | idx_shops_subscription_status
 shops              | idx_shops_tier
 shops              | idx_shops_trial
